Actions,Vitendo,
All,ZOTE,
Amended From,Imebadilishwa Kutoka,
Analyze,Chambua,
Analyzing. Please wait...,Kuchambua. Tafadhali subiri...,
Another list with the name {0} exists,Orodha nyingine yenye jina {0} ipo,
Approved,Imekubaliwa,
Assigned To,Iliyopewa,
Assignees row {}.You must specify the system user,Safu mlalo ya waliokabidhiwa {}.Lazima ubainishe mtumiaji wa mfumo,
Attach,Weka,
Attach Image,Weka picha,
Author,Mwandishi,
Auto Repeat,Rudia tena,
Base URL,URL ya Msingi,
Between,Kati ya,
Button,Button,
Cancelled,Kuweza,
Check,Angalia,
Closed,Ilifungwa,
Color,Rangi,
Column Break,Kuvunja Column,
Completed,Imekamilishwa,
Connecting...Please wait,Inaunganisha...Tafadhali subiri,
Connection Name,Jina la Kuunganisha,
Connection could not be established,Muunganisho haukuweza kuanzishwa,
Connection successful,Muunganisho umefaulu,
Content,Maudhui,
County,Kata,
Create,Unda,
Created Custom Field {0} in {1},Iliundwa kwa Field Field {0} katika {1},
Currency,Fedha,
Dashboard,Dashibodi,
Data,Takwimu,
Date,Tarehe,
Datetime,Saa ya tarehe,
Default Value,Thamani ya Hitilafu,
Delete,Futa,
Dependencies row {}. Task is set to depend on itself. Please remove task {} from the list of dependencies,Safu mlalo tegemezi {}. Kazi imewekwa kujitegemea yenyewe. Tafadhali ondoa kazi {} kutoka kwa orodha ya vitegemezi,
Description,Maelezo,
Display Depends On,Kuonyesha inategemea,
DocType,DocType,
Draft,Rasimu,
Duration,Muda,
Dynamic Link,Kiungo cha Nguvu,
Email,Barua pepe,
Employee,Mfanyakazi,
End Date,Tarehe ya Mwisho,
Equals,Sawa,
Export,Tuma nje,
Female,Kike,
Field Name,Jina la shamba,
Field Type,Aina ya Shamba,
Field {} in row {}. You must specify the choices for the Select Field,Sehemu ya {} katika safu mlalo {}. Lazima ubainishe chaguo za Sehemu ya Chagua,
Fields,Mashamba,
File,Faili,
First Name,Jina la kwanza,
Float,Fungua,
Formula includes fields of different data types,Mfumo unajumuisha sehemu za aina tofauti za data,
Formula must include at lease one field,Mfumo lazima ujumuishe sehemu moja ya kukodisha,
Full Name,Jina kamili,
Gender,Jinsia,
Geolocation,Geolocation,
Go to {0},Nenda kwa {0},
Go to {0} List,Nenda kwenye orodha ya {0},
HTML,HTML,
HTML Editor,Mhariri wa HTML,
Heading,Kichwa,
High,Juu,
Icon,Picha,
Image,Picha,
Import,Ingiza,
In,In,
In Progress,Inaendelea,
Int,Int,
Introduction,Utangulizi,
Is Child Table,Ni Jedwali la Watoto,
JSON,JSON,
Keyboard Shortcuts,Njia za mkato za kibodi,
Label,Lebo,
Last Name,Jina la familia,
Left,Kushoto,
Length,Urefu,
Like,Kama,
Link,Kiunga,
List,Orodha,
Long Text,Muda mrefu,
Low,Chini,
Male,Kiume,
Markdown,Alama,
Medium,Kati,
New,Mpya,
No,Hapana,
Not Equals,Si sawa,
Not In,Sio,
Not Like,Si kama,
Number,Nambari,
Online,Online,
Open,Fungua,
Options,Chaguo,
Other,Nyingine,
Participatory Backend,Nyuma shirikishi,
Password,Nenosiri,
Pending Approval,Inasubiri idhini,
Percent,Asilimia,
Permissions,Ruhusa,
Phone,Simu,
Please wait...,Tafadhali subiri...,
Precision,Sahihi,
Prefer not to say,Pendelea kusema,
Print,Chapisha,
Priority,Kipaumbele,
Project,Mradi,
Published on,Imechapishwa mnamo,
Rating,Upimaji,
Read,Soma,
Read Only,Soma tu,
Refresh,Furahisha,
Rejected,Imekataliwa,
Reload,Pakia tena,
Report,Ripoti,
Reset,Weka upya,
Resources row {}. The value specified is not a number,Rasilimali safu {}. Thamani iliyobainishwa sio nambari,
Right,Haki,
Role,Wajibu,
Route,Njia,
Row {0}. You must specify the Child Form for field {1},Safu mlalo {0}. Lazima ubainishe Fomu ya Mtoto kwa uga {1},
Row {0}. You must specify the Form for field {1},Safu mlalo {0}. Lazima ubainishe Fomu ya sehemu ya {1},
Row {0}. You must specify the choices for field {1},Safu mlalo {0}. Lazima ubainishe chaguo za uga {1},
Save Time,Okoa Muda,
Section Break,Kuvunja sehemu,
See on website,Tazama kwenye tovuti,
Select,Chagua,
Select Dataset Type first,Chagua Aina ya Seti ya Data kwanza,
Select the shape file first,Chagua faili ya umbo kwanza,
Select the statistics file,Chagua faili ya takwimu,
Select the value of Technical Data first,Chagua thamani ya Data ya Kiufundi kwanza,
Session Defaults,Defavers ya Kikao,
Small Text,Nakala ndogo,
Start Date,Tarehe ya Mwanzo,
Status,Hali,
Steps,Hatua,
Submit Monthly Timesheet,Peana Jedwali la Muda la Kila Mwezi,
Submitted,Iliwasilishwa,
System Manager,Meneja wa Mfumo,
System User,Mtumiaji wa Mfumo,
Table,Jedwali,
Table MultiSelect,Jedwali Mbadala,
Task,Kazi,
Text,Nakala,
The start date must be earlier than the end date,Tarehe ya kuanza lazima iwe mapema kuliko tarehe ya mwisho,
Time,Wakati,
Title,Kichwa,
Total hours,Jumla ya saa,
URL,URL,
Upload file,Pakia faili,
User,Mtumiaji,
View,Tazama,
View Monthly Timesheet,Tazama Jedwali la Muda la Kila Mwezi,
View Website,Tazama Tovuti,
Website Manager,Meneja wa tovuti,
Write,Andika,
Yes,Ndiyo,
You must specify at lease one field,Lazima ubainishe kwa kukodisha sehemu moja,
You must specify at lease one permission,Lazima ubainishe kwa kukodisha ruhusa moja,
You must specify the field to use for {0},Lazima ubainishe sehemu ya kutumia kwa {0},
